item_a,item_b,cooccurrence_count
ITEM_1132,ITEM_2886,1
ITEM_1665,ITEM_2509,1
ITEM_458,ITEM_848,1
ITEM_4080,ITEM_758,1
ITEM_2997,ITEM_3123,1
ITEM_2041,ITEM_948,1
ITEM_1433,ITEM_1604,1
ITEM_16,ITEM_4401,1
ITEM_4188,ITEM_793,1
ITEM_3410,ITEM_4674,1
ITEM_4436,ITEM_4780,1
ITEM_2216,ITEM_4812,1
ITEM_1928,ITEM_3548,1
ITEM_1399,ITEM_2075,1
ITEM_2477,ITEM_250,1
ITEM_3165,ITEM_3299,1
ITEM_2356,ITEM_4437,1
ITEM_267,ITEM_4875,1
ITEM_1435,ITEM_1629,1
ITEM_2659,ITEM_2866,1
ITEM_1134,ITEM_1867,1
ITEM_2710,ITEM_945,1
ITEM_4908,ITEM_534,1
ITEM_1444,ITEM_2573,1
ITEM_3351,ITEM_3741,1
ITEM_4720,ITEM_76,1
ITEM_2194,ITEM_3278,1
ITEM_1241,ITEM_1263,1
ITEM_1851,ITEM_4781,1
ITEM_3223,ITEM_378,1
ITEM_426,ITEM_942,1
ITEM_3667,ITEM_4284,1
ITEM_4014,ITEM_4916,1
ITEM_1674,ITEM_3135,1
ITEM_2888,ITEM_714,1
ITEM_1044,ITEM_2336,1
ITEM_1249,ITEM_4223,1
ITEM_3829,ITEM_4854,1
ITEM_1272,ITEM_4902,1
ITEM_162,ITEM_2860,1
ITEM_335,ITEM_62,1
ITEM_1819,ITEM_2746,1
ITEM_578,ITEM_898,1
ITEM_1282,ITEM_3423,1
ITEM_2549,ITEM_4829,1
ITEM_1868,ITEM_3975,1
ITEM_676,ITEM_830,1
ITEM_2640,ITEM_4309,1
ITEM_1762,ITEM_3081,1
ITEM_3725,ITEM_722,1
ITEM_3354,ITEM_4094,1
ITEM_1261,ITEM_1404,1
ITEM_1527,ITEM_2185,1
ITEM_1531,ITEM_4791,1
ITEM_2064,ITEM_3241,1
ITEM_313,ITEM_4591,1
ITEM_1876,ITEM_2329,1
ITEM_2258,ITEM_4919,1
ITEM_4071,ITEM_4236,1
ITEM_1423,ITEM_1665,1
ITEM_1754,ITEM_3101,1
ITEM_4635,ITEM_894,1
ITEM_584,ITEM_835,1
ITEM_3487,ITEM_502,1
ITEM_2433,ITEM_821,1
ITEM_2162,ITEM_2289,1
ITEM_3106,ITEM_3757,1
ITEM_4908,ITEM_4918,1
ITEM_1393,ITEM_300,1
ITEM_1118,ITEM_116,1
ITEM_4839,ITEM_894,1
ITEM_2315,ITEM_2861,1
ITEM_1435,ITEM_4243,1
ITEM_136,ITEM_3818,1
ITEM_2130,ITEM_4454,1
ITEM_1757,ITEM_4974,1
ITEM_2421,ITEM_281,1
ITEM_1798,ITEM_314,1
ITEM_4025,ITEM_4196,1
ITEM_1685,ITEM_3213,1
ITEM_1994,ITEM_3013,1
ITEM_1413,ITEM_2350,1
ITEM_3790,ITEM_3800,1
ITEM_1610,ITEM_457,1
ITEM_1715,ITEM_3859,1
ITEM_276,ITEM_53,1
ITEM_3845,ITEM_3853,1
ITEM_3818,ITEM_4393,1
ITEM_1487,ITEM_4182,1
ITEM_1401,ITEM_487,1
ITEM_3840,ITEM_3996,1
ITEM_1508,ITEM_1725,1
ITEM_3382,ITEM_4758,1
ITEM_1286,ITEM_4428,1
ITEM_1767,ITEM_835,1
ITEM_4140,ITEM_4468,1
ITEM_3482,ITEM_4995,1
ITEM_1753,ITEM_3400,1
ITEM_3374,ITEM_3992,1
ITEM_2427,ITEM_2634,1
ITEM_450,ITEM_849,1
ITEM_4010,ITEM_94,1
ITEM_1017,ITEM_813,1
ITEM_1717,ITEM_2553,1
ITEM_1235,ITEM_1339,1
ITEM_2179,ITEM_3575,1
ITEM_2980,ITEM_4980,1
ITEM_1196,ITEM_569,1
ITEM_3261,ITEM_355,1
ITEM_1755,ITEM_1783,1
ITEM_3831,ITEM_883,1
ITEM_2935,ITEM_4544,1
ITEM_1869,ITEM_2163,1
ITEM_4335,ITEM_633,1
ITEM_3896,ITEM_3973,1
ITEM_2564,ITEM_4778,1
ITEM_1751,ITEM_2425,1
ITEM_124,ITEM_856,1
ITEM_4548,ITEM_4992,1
ITEM_1993,ITEM_3918,1
ITEM_2316,ITEM_2962,1
ITEM_326,ITEM_3491,1
ITEM_1394,ITEM_3713,1
ITEM_1201,ITEM_4789,1
ITEM_656,ITEM_696,1
ITEM_1976,ITEM_3938,1
ITEM_3645,ITEM_3744,1
ITEM_2540,ITEM_544,1
ITEM_1608,ITEM_1640,1
ITEM_1411,ITEM_2782,1
ITEM_1758,ITEM_2593,1
ITEM_2436,ITEM_297,2
ITEM_2337,ITEM_708,1
ITEM_1808,ITEM_946,1
ITEM_477,ITEM_932,1
ITEM_3265,ITEM_4902,1
ITEM_1408,ITEM_3859,1
ITEM_1377,ITEM_2798,1
ITEM_4012,ITEM_4414,1
ITEM_3719,ITEM_566,1
ITEM_3028,ITEM_3086,1
ITEM_1379,ITEM_4936,1
ITEM_1806,ITEM_4902,1
ITEM_1328,ITEM_3201,1
ITEM_2428,ITEM_3834,1
ITEM_4682,ITEM_548,1
ITEM_3470,ITEM_3689,1
ITEM_4290,ITEM_695,1
ITEM_4154,ITEM_4832,1
ITEM_2065,ITEM_3609,1
ITEM_3585,ITEM_3617,1
ITEM_3602,ITEM_751,1
ITEM_1218,ITEM_4353,1
ITEM_253,ITEM_675,1
ITEM_2868,ITEM_3378,1
ITEM_3119,ITEM_3751,1
ITEM_2878,ITEM_3998,1
ITEM_662,ITEM_795,1
ITEM_2946,ITEM_62,1
ITEM_1412,ITEM_577,1
ITEM_4218,ITEM_4857,1
ITEM_2961,ITEM_3668,1
ITEM_1851,ITEM_4581,1
ITEM_1380,ITEM_725,1
ITEM_1740,ITEM_4283,1
ITEM_487,ITEM_828,1
ITEM_4202,ITEM_433,1
ITEM_83,ITEM_958,1
ITEM_1694,ITEM_2414,1
ITEM_345,ITEM_4213,1
ITEM_128,ITEM_4053,1
ITEM_2223,ITEM_518,1
ITEM_2303,ITEM_4041,1
ITEM_4612,ITEM_4772,1
ITEM_1566,ITEM_4021,1
ITEM_3744,ITEM_4204,1
ITEM_1480,ITEM_2332,1
ITEM_1159,ITEM_3279,1
ITEM_3450,ITEM_3455,1
ITEM_304,ITEM_924,1
ITEM_1087,ITEM_292,1
ITEM_2057,ITEM_867,1
ITEM_2718,ITEM_4508,2
ITEM_4988,ITEM_623,1
ITEM_1406,ITEM_3655,1
ITEM_2178,ITEM_786,1
ITEM_4017,ITEM_4300,1
ITEM_2239,ITEM_4598,1
ITEM_1025,ITEM_18,1
ITEM_1171,ITEM_1254,1
ITEM_2219,ITEM_4892,1
ITEM_1191,ITEM_2246,1
ITEM_3346,ITEM_3686,1
ITEM_1861,ITEM_4279,1
ITEM_3402,ITEM_3676,1
ITEM_3071,ITEM_459,1
ITEM_1408,ITEM_148,1
ITEM_2656,ITEM_3409,1
ITEM_2499,ITEM_536,1
ITEM_4294,ITEM_595,1
ITEM_4472,ITEM_4644,1
ITEM_3530,ITEM_4172,1
ITEM_1531,ITEM_4527,1
ITEM_2739,ITEM_951,1
ITEM_3490,ITEM_4293,1
ITEM_2147,ITEM_4672,1
ITEM_4061,ITEM_4785,1
ITEM_2249,ITEM_3745,1
ITEM_4354,ITEM_742,1
ITEM_384,ITEM_4361,1
ITEM_1175,ITEM_943,1
ITEM_3987,ITEM_950,1
ITEM_1718,ITEM_3020,1
ITEM_1327,ITEM_1998,1
ITEM_2627,ITEM_2963,1
ITEM_2874,ITEM_3764,1
ITEM_2870,ITEM_3716,1
ITEM_1758,ITEM_3675,1
ITEM_2606,ITEM_341,1
ITEM_2171,ITEM_810,1
ITEM_1589,ITEM_4143,1
ITEM_2129,ITEM_4658,1
ITEM_2181,ITEM_4692,1
ITEM_2411,ITEM_4612,1
ITEM_1371,ITEM_2573,1
ITEM_3961,ITEM_4368,1
ITEM_280,ITEM_383,1
ITEM_1001,ITEM_4916,1
ITEM_1398,ITEM_4540,1
ITEM_2889,ITEM_3,1
ITEM_124,ITEM_2830,1
ITEM_2106,ITEM_4128,1
ITEM_3080,ITEM_4345,1
ITEM_2957,ITEM_765,1
ITEM_1209,ITEM_3150,1
ITEM_2896,ITEM_3826,1
ITEM_1505,ITEM_2866,1
ITEM_232,ITEM_3595,1
ITEM_3851,ITEM_3960,1
ITEM_1551,ITEM_2451,1
ITEM_1127,ITEM_2445,1
ITEM_4777,ITEM_968,1
ITEM_3618,ITEM_4893,1
ITEM_1206,ITEM_7,1
ITEM_4156,ITEM_626,1
ITEM_1805,ITEM_3892,1
ITEM_2442,ITEM_702,1
ITEM_364,ITEM_3896,1
ITEM_3513,ITEM_4635,1
ITEM_2100,ITEM_3660,1
ITEM_3707,ITEM_4328,1
ITEM_3666,ITEM_4420,1
ITEM_1211,ITEM_1397,1
ITEM_1943,ITEM_4132,1
ITEM_1559,ITEM_3389,1
ITEM_2036,ITEM_509,1
ITEM_3763,ITEM_636,1
ITEM_1377,ITEM_4027,1
ITEM_3114,ITEM_597,1
ITEM_2232,ITEM_3005,1
ITEM_1389,ITEM_787,1
ITEM_1730,ITEM_4017,1
ITEM_1666,ITEM_458,1
ITEM_1496,ITEM_4231,1
ITEM_2130,ITEM_4009,1
ITEM_1441,ITEM_2622,1
ITEM_152,ITEM_395,1
ITEM_1781,ITEM_2887,1
ITEM_2007,ITEM_4342,1
ITEM_2267,ITEM_4410,1
ITEM_2171,ITEM_3685,1
ITEM_2298,ITEM_848,1
ITEM_2446,ITEM_745,1
ITEM_1916,ITEM_2147,1
ITEM_251,ITEM_41,1
ITEM_2597,ITEM_2830,1
ITEM_1530,ITEM_842,1
ITEM_1469,ITEM_1698,1
ITEM_1071,ITEM_4509,1
ITEM_1721,ITEM_4593,1
ITEM_2081,ITEM_2761,1
ITEM_1098,ITEM_855,1
ITEM_1560,ITEM_4992,1
ITEM_63,ITEM_754,1
ITEM_4853,ITEM_4863,1
ITEM_2681,ITEM_4667,1
ITEM_4906,ITEM_976,1
ITEM_3993,ITEM_4225,1
ITEM_1196,ITEM_2214,2
ITEM_1282,ITEM_2017,1
ITEM_1698,ITEM_4469,1
ITEM_2430,ITEM_4583,2
ITEM_1622,ITEM_3353,1
ITEM_1706,ITEM_4324,1
ITEM_3785,ITEM_3853,1
ITEM_1594,ITEM_820,1
ITEM_1328,ITEM_4281,1
ITEM_342,ITEM_3648,1
ITEM_2026,ITEM_4153,1
ITEM_3685,ITEM_3862,1
ITEM_4753,ITEM_903,1
ITEM_3947,ITEM_4784,1
ITEM_1484,ITEM_2339,1
ITEM_1266,ITEM_1803,1
ITEM_3750,ITEM_41,1
ITEM_1150,ITEM_3310,1
ITEM_155,ITEM_4848,1
ITEM_3134,ITEM_3403,1
ITEM_2645,ITEM_3786,1
ITEM_1119,ITEM_2373,1
ITEM_4024,ITEM_725,1
ITEM_725,ITEM_857,1
ITEM_511,ITEM_60,1
ITEM_1804,ITEM_4334,1
ITEM_2240,ITEM_3246,1
ITEM_38,ITEM_813,1
ITEM_4867,ITEM_807,1
ITEM_1495,ITEM_383,1
ITEM_2735,ITEM_3799,1
ITEM_4673,ITEM_505,1
ITEM_136,ITEM_4459,1
ITEM_3947,ITEM_4467,1
ITEM_2733,ITEM_565,1
ITEM_2657,ITEM_601,1
ITEM_4520,ITEM_4669,1
ITEM_3653,ITEM_4546,1
ITEM_1675,ITEM_2487,1
ITEM_2667,ITEM_4924,1
ITEM_2414,ITEM_2677,1
ITEM_1638,ITEM_3980,1
ITEM_374,ITEM_903,1
ITEM_2340,ITEM_464,1
ITEM_2226,ITEM_4368,1
ITEM_4768,ITEM_785,1
ITEM_4408,ITEM_662,1
ITEM_1715,ITEM_2463,1
ITEM_2487,ITEM_723,1
ITEM_2050,ITEM_92,1
ITEM_3352,ITEM_3395,1
ITEM_2369,ITEM_4962,1
ITEM_1622,ITEM_3124,1
ITEM_216,ITEM_4150,1
ITEM_2418,ITEM_4165,1
ITEM_2159,ITEM_3912,1
ITEM_1639,ITEM_2008,1
ITEM_2096,ITEM_3576,1
ITEM_4279,ITEM_664,1
ITEM_1146,ITEM_2403,1
ITEM_2895,ITEM_966,1
ITEM_1110,ITEM_4796,1
ITEM_1018,ITEM_3627,1
ITEM_2692,ITEM_4032,1
ITEM_1645,ITEM_555,1
ITEM_1609,ITEM_2678,1
ITEM_2466,ITEM_3184,1
ITEM_1469,ITEM_1600,1
ITEM_4294,ITEM_462,1
ITEM_1265,ITEM_1420,1
ITEM_1020,ITEM_1225,1
ITEM_4141,ITEM_952,1
ITEM_1502,ITEM_4302,1
ITEM_4388,ITEM_554,1
ITEM_3416,ITEM_3913,1
ITEM_2271,ITEM_4759,1
ITEM_2790,ITEM_4719,1
ITEM_3633,ITEM_4053,1
ITEM_1062,ITEM_3764,1
ITEM_2852,ITEM_4268,1
ITEM_2208,ITEM_3395,1
ITEM_13,ITEM_3477,1
ITEM_4048,ITEM_4961,1
ITEM_2394,ITEM_2745,1
ITEM_2532,ITEM_3589,1
ITEM_1756,ITEM_190,1
ITEM_2355,ITEM_4225,1
ITEM_2783,ITEM_4820,1
ITEM_1008,ITEM_653,1
ITEM_2853,ITEM_3318,1
ITEM_1192,ITEM_1555,1
ITEM_2573,ITEM_4030,1
ITEM_1244,ITEM_2029,1
ITEM_2564,ITEM_716,1
ITEM_1998,ITEM_620,1
ITEM_2141,ITEM_2732,1
ITEM_2832,ITEM_4295,1
ITEM_2000,ITEM_2028,1
ITEM_3291,ITEM_4720,1
ITEM_1978,ITEM_4816,1
ITEM_2351,ITEM_741,1
ITEM_4253,ITEM_870,1
ITEM_157,ITEM_3459,1
ITEM_1956,ITEM_2540,1
ITEM_1897,ITEM_4754,1
ITEM_2719,ITEM_3506,1
ITEM_362,ITEM_4749,1
ITEM_1549,ITEM_4710,1
ITEM_1480,ITEM_2887,1
ITEM_3541,ITEM_3578,1
ITEM_2151,ITEM_4093,1
ITEM_2922,ITEM_749,1
ITEM_2924,ITEM_3554,1
ITEM_1558,ITEM_1664,1
ITEM_1808,ITEM_2484,1
ITEM_2689,ITEM_7,1
ITEM_1340,ITEM_3695,1
ITEM_3505,ITEM_4527,1
ITEM_4226,ITEM_856,1
ITEM_3223,ITEM_3633,1
ITEM_2884,ITEM_3766,1
ITEM_3077,ITEM_3823,1
ITEM_3692,ITEM_4561,1
ITEM_1439,ITEM_3134,1
ITEM_60,ITEM_825,1
ITEM_3279,ITEM_442,1
ITEM_264,ITEM_3126,1
ITEM_745,ITEM_764,1
ITEM_3980,ITEM_4691,1
ITEM_3472,ITEM_3911,1
ITEM_1715,ITEM_2449,1
ITEM_3395,ITEM_4781,1
ITEM_1154,ITEM_3648,1
ITEM_3881,ITEM_4362,1
ITEM_1584,ITEM_2060,1
ITEM_2736,ITEM_778,1
ITEM_1641,ITEM_2216,1
ITEM_161,ITEM_4418,1
ITEM_3178,ITEM_595,1
ITEM_1865,ITEM_3274,1
ITEM_1168,ITEM_803,1
ITEM_1332,ITEM_1337,1
ITEM_1253,ITEM_4370,1
ITEM_309,ITEM_4136,1
ITEM_1344,ITEM_2437,1
ITEM_3679,ITEM_4589,1
ITEM_403,ITEM_4906,1
ITEM_1973,ITEM_4731,1
ITEM_1288,ITEM_253,1
ITEM_2514,ITEM_3712,1
ITEM_1720,ITEM_3703,1
ITEM_1522,ITEM_3178,1
ITEM_1765,ITEM_4812,1
ITEM_3209,ITEM_3261,1
ITEM_1023,ITEM_396,1
ITEM_2317,ITEM_842,1
ITEM_3150,ITEM_4322,1
ITEM_31,ITEM_4517,1
ITEM_252,ITEM_3154,1
ITEM_2119,ITEM_2354,1
ITEM_3384,ITEM_4208,1
ITEM_1215,ITEM_3646,1
ITEM_2023,ITEM_3358,1
ITEM_2291,ITEM_269,1
ITEM_2619,ITEM_4598,1
ITEM_2090,ITEM_2299,1
ITEM_3771,ITEM_4917,1
ITEM_2444,ITEM_97,1
ITEM_3227,ITEM_4662,1
ITEM_3158,ITEM_4283,1
ITEM_3098,ITEM_4428,1
ITEM_4067,ITEM_4906,1
ITEM_1763,ITEM_2646,1
ITEM_1150,ITEM_1243,1
ITEM_1618,ITEM_98,1
ITEM_1110,ITEM_3737,1
ITEM_2333,ITEM_4552,1
ITEM_2954,ITEM_3819,1
ITEM_236,ITEM_3419,1
ITEM_1334,ITEM_221,1
ITEM_4127,ITEM_4292,1
ITEM_4046,ITEM_451,1
ITEM_3425,ITEM_488,1
ITEM_1795,ITEM_734,1
ITEM_2224,ITEM_3141,1
ITEM_3524,ITEM_3659,1
ITEM_2851,ITEM_4387,1
ITEM_1903,ITEM_4275,1
ITEM_2990,ITEM_3188,1
ITEM_1300,ITEM_456,1
ITEM_2548,ITEM_2727,1
ITEM_3114,ITEM_4758,1
ITEM_1907,ITEM_308,1
ITEM_4512,ITEM_4571,1
ITEM_1658,ITEM_1726,1
ITEM_2879,ITEM_892,1
ITEM_3463,ITEM_3719,1
ITEM_2384,ITEM_978,1
ITEM_2542,ITEM_875,1
ITEM_1275,ITEM_4109,1
ITEM_1670,ITEM_1931,1
ITEM_1109,ITEM_309,1
ITEM_2248,ITEM_2387,1
ITEM_4191,ITEM_670,1
ITEM_1231,ITEM_838,1
ITEM_3536,ITEM_432,1
ITEM_1745,ITEM_2869,1
ITEM_452,ITEM_888,1
ITEM_4397,ITEM_4463,1
ITEM_3576,ITEM_646,1
ITEM_1018,ITEM_1729,1
ITEM_3890,ITEM_856,1
ITEM_2303,ITEM_3641,1
ITEM_4280,ITEM_767,1
ITEM_1589,ITEM_57,1
ITEM_1855,ITEM_3338,1
ITEM_4569,ITEM_738,1
ITEM_2253,ITEM_431,1
ITEM_1183,ITEM_2075,1
ITEM_234,ITEM_2781,1
ITEM_3540,ITEM_735,1
ITEM_4596,ITEM_488,1
ITEM_1968,ITEM_798,1
ITEM_2758,ITEM_3986,1
ITEM_4287,ITEM_4659,1
ITEM_1088,ITEM_3952,1
ITEM_719,ITEM_823,1
ITEM_3224,ITEM_4062,1
ITEM_4252,ITEM_4437,1
ITEM_4202,ITEM_550,1
ITEM_2991,ITEM_576,1
ITEM_1612,ITEM_2295,1
ITEM_4337,ITEM_735,1
ITEM_1311,ITEM_4501,1
ITEM_1425,ITEM_2375,1
ITEM_2767,ITEM_429,1
ITEM_1878,ITEM_2805,1
ITEM_3251,ITEM_627,1
ITEM_2666,ITEM_657,1
ITEM_1606,ITEM_3850,1
ITEM_1076,ITEM_4396,1
ITEM_1273,ITEM_4471,1
ITEM_1370,ITEM_4873,1
ITEM_3360,ITEM_957,1
ITEM_3185,ITEM_4680,1
ITEM_1653,ITEM_851,1
ITEM_4498,ITEM_4854,1
ITEM_4689,ITEM_775,1
ITEM_1478,ITEM_4648,1
ITEM_1478,ITEM_4298,1
ITEM_3016,ITEM_475,1
ITEM_3197,ITEM_3385,1
ITEM_31,ITEM_3725,1
ITEM_3366,ITEM_4508,1
ITEM_1694,ITEM_2677,1
ITEM_431,ITEM_4476,1
ITEM_2475,ITEM_93,1
ITEM_2775,ITEM_3586,1
ITEM_326,ITEM_4325,1
ITEM_1609,ITEM_4288,1
ITEM_4507,ITEM_523,1
ITEM_1620,ITEM_4120,1
ITEM_2930,ITEM_4394,1
ITEM_3976,ITEM_4485,1
ITEM_1825,ITEM_2385,1
ITEM_3254,ITEM_4730,1
ITEM_2024,ITEM_4536,1
ITEM_1352,ITEM_1464,1
ITEM_3286,ITEM_716,1
ITEM_4678,ITEM_730,1
ITEM_155,ITEM_643,1
ITEM_312,ITEM_4749,1
ITEM_4011,ITEM_4424,1
ITEM_509,ITEM_999,1
ITEM_42,ITEM_772,1
ITEM_2398,ITEM_3717,1
ITEM_4144,ITEM_4229,1
ITEM_2220,ITEM_2537,1
ITEM_147,ITEM_592,1
ITEM_1365,ITEM_2811,1
ITEM_1027,ITEM_1641,1
ITEM_3761,ITEM_4842,1
ITEM_1115,ITEM_2178,1
ITEM_1608,ITEM_1921,1
ITEM_1513,ITEM_555,1
ITEM_413,ITEM_555,1
ITEM_2698,ITEM_441,1
ITEM_3223,ITEM_521,1
ITEM_1020,ITEM_254,1
ITEM_1749,ITEM_2595,1
ITEM_4503,ITEM_996,1
ITEM_1075,ITEM_4844,1
ITEM_4245,ITEM_572,1
ITEM_1488,ITEM_1961,1
ITEM_4103,ITEM_557,1
ITEM_3046,ITEM_312,1
ITEM_3917,ITEM_4836,1
ITEM_1395,ITEM_3682,1
ITEM_2909,ITEM_4813,1
ITEM_411,ITEM_968,1
ITEM_4076,ITEM_4625,1
ITEM_3665,ITEM_4655,1
ITEM_2247,ITEM_3051,1
ITEM_2018,ITEM_3364,2
ITEM_2112,ITEM_2683,1
ITEM_2777,ITEM_2842,1
ITEM_4137,ITEM_845,1
ITEM_1942,ITEM_2053,1
ITEM_1280,ITEM_4940,1
ITEM_2113,ITEM_971,1
ITEM_1120,ITEM_2818,1
ITEM_4915,ITEM_753,1
ITEM_2135,ITEM_2558,1
ITEM_1811,ITEM_3663,1
ITEM_1726,ITEM_807,1
ITEM_3276,ITEM_4150,1
ITEM_1051,ITEM_4108,1
ITEM_1240,ITEM_4902,1
ITEM_1459,ITEM_4175,1
ITEM_2307,ITEM_4983,1
ITEM_2638,ITEM_4867,1
ITEM_2325,ITEM_3141,1
ITEM_2385,ITEM_4614,1
ITEM_3290,ITEM_3551,1
ITEM_165,ITEM_2724,1
ITEM_1251,ITEM_3986,1
ITEM_3174,ITEM_864,1
ITEM_2466,ITEM_4250,1
ITEM_3042,ITEM_3187,1
ITEM_2154,ITEM_2195,1
ITEM_3620,ITEM_920,1
ITEM_2264,ITEM_717,1
ITEM_2001,ITEM_854,1
ITEM_2427,ITEM_973,1
ITEM_3415,ITEM_4691,1
ITEM_1646,ITEM_4801,1
ITEM_30,ITEM_3481,1
ITEM_2865,ITEM_4424,1
ITEM_1487,ITEM_2721,1
ITEM_4351,ITEM_86,1
ITEM_4920,ITEM_934,1
ITEM_1312,ITEM_864,1
ITEM_3070,ITEM_4679,1
ITEM_297,ITEM_3791,1
ITEM_3820,ITEM_4673,1
ITEM_1027,ITEM_2573,1
ITEM_1316,ITEM_4588,1
ITEM_2083,ITEM_3446,1
ITEM_1040,ITEM_4116,1
ITEM_210,ITEM_780,1
ITEM_3047,ITEM_3745,1
ITEM_3942,ITEM_4141,1
ITEM_2369,ITEM_739,1
ITEM_443,ITEM_4835,1
ITEM_1276,ITEM_3871,1
ITEM_3179,ITEM_4135,1
ITEM_228,ITEM_277,1
ITEM_2520,ITEM_3490,1
ITEM_3384,ITEM_4999,1
ITEM_2568,ITEM_52,1
ITEM_2201,ITEM_627,1
ITEM_3134,ITEM_408,1
ITEM_1868,ITEM_3005,1
ITEM_2921,ITEM_3918,1
ITEM_2355,ITEM_3993,1
ITEM_2516,ITEM_296,1
ITEM_2080,ITEM_4110,1
ITEM_344,ITEM_585,1
ITEM_2872,ITEM_3602,1
ITEM_291,ITEM_638,1
ITEM_4949,ITEM_806,1
ITEM_2455,ITEM_4430,1
ITEM_1408,ITEM_521,1
ITEM_2229,ITEM_436,1
ITEM_3443,ITEM_4294,1
ITEM_2858,ITEM_4832,1
ITEM_2545,ITEM_2776,1
ITEM_2711,ITEM_3255,1
ITEM_3884,ITEM_3916,1
ITEM_1561,ITEM_759,1
